"genre","avg_vote","income"
"Biography, Drama, Fantasy",5.4,44.020
"Action, Crime, Drama",6.4,49.563
"Biography, Drama, History",7.3,105.697
"Biography, Drama",7.3,16.637
"Comedy, Crime, Mystery",3.8,40.467
"Action, Crime, Drama",7,80.510
"Action, Adventure, Sci-Fi",6.7,856.085
"Horror",5.2,31.039
"Action, Comedy, Crime",5.4,27.506
"Adventure, Comedy, Drama",6.4,2.390
"Action, Adventure, Fantasy",6.3,274.651
"Action, Drama, History",6.6,67.451
"Action, Adventure, Fantasy",6.9,1148.486
"Crime, Horror, Thriller",6.6,255.485
"Drama, Music, Romance",7.7,436.189
"Comedy, Romance",6,91.245
"Action, Adventure, Fantasy",6.1,83.673
"Action, Mystery, Thriller",6.3,119.942
"Adventure, Family, Fantasy",4.2,132.676
"Action, Adventure, Sci-Fi",7.5,582.894
"Biography, Drama, Music",8,906.885
"Biography, Crime, Drama",4.8,6.412
"Action, Adventure, Sci-Fi",7.3,1347.281
"Action, Thriller",6.6,31.673
"Horror, Thriller",5.5,18.160
"Comedy, Family, Fantasy",6,131.457
"Comedy, Drama, Romance",5.8,72.294
"Action, Adventure, Sci-Fi",6.1,428.028
"Animation, Adventure, Comedy",5.2,90.498
"Biography, Drama, History",6.3,46.713
"Comedy",6.2,94.017
"Action, Adventure, Sci-Fi",5.6,290.930
"Action, Comedy, Crime",6.9,117.679
"Animation, Comedy, Family",6.3,511.596
"Adventure, Drama, Horror",6.8,43.071
"Action, Comedy",6.5,78.131
"Action, Drama, Thriller",6.6,151.573
"Comedy, Drama, Romance",6.9,238.539
"Biography, Comedy, Drama",6.2,13.061
"Biography, Comedy, Drama",7.2,24.421
"Animation, Action, Adventure",7.6,1242.805
"Action, Crime, Thriller",6.7,190.400
"Action, Adventure, Sci-Fi",6.9,392.925
"Action, Adventure, Sci-Fi",5.3,160.542
"Biography, Drama, Sport",7.2,4.377
"Crime, Drama, Horror",6.8,3.127
"Drama",6.1,3.326
"Action, Adventure, Drama",5.7,41.142
"Drama, Music, Romance",6.7,16.376
"Adventure, Family, Fantasy",6.6,654.856
"Action, Adventure, Sci-Fi",8.4,2048.360
"Drama, Sci-Fi, Thriller",5.5,9.330
"Crime, Drama, Thriller",6.9,75.985
"Action, Adventure, Drama",6.7,98.203
"Drama, Romance, Thriller",4.5,371.985
"Action, Adventure, Sci-Fi",6.2,288.175
"Action, Adventure, Horror",6.6,41.658
"Action, Adventure, Drama",5.3,86.493
"Crime, Drama",6.4,25.957
"Action, Thriller",6.1,66.309
"Comedy, Drama, Family",7.3,197.744
"Biography, Comedy, Crime",7.1,12.442
"Animation, Action, Adventure",8.4,375.541
"Biography, Drama",7,38.674
"Action, Adventure, Sci-Fi",6.8,467.990
"Animation, Adventure, Comedy",6.1,54.623
"Horror, Mystery, Thriller",5.9,16.025
"Action, Horror, Sci-Fi",5.6,530.259
"Drama, Romance",6.6,27.365
"Action, Adventure, Sci-Fi",6.2,1331.958
"Action, Adventure, Thriller",7.7,791.120
"Crime, Drama, Mystery",6.9,19.176
"Crime, Drama, Western",7,13.143
"Comedy, Family, Fantasy",6.7,349.546
"Action, Adventure, Crime",7.1,75.838
"Biography, Comedy, Drama",7.5,95.919
"Action, Adventure, Comedy",7.1,622.674
"Adventure, Comedy, Family",6.6,351.266
"Action, Comedy, Crime",6.2,297.719
"Comedy, Drama, Romance",7.6,66.316
"Action, Crime, Drama",6.1,35.165
"Biography, Drama, Thriller",5.6,2.714
"Biography, Drama, History",6.6,17.612
"Animation, Adventure, Comedy",6.3,528.584
"Animation, Adventure, Family",6.9,4.933
"Action, Adventure, Crime",5.1,32.517
"Action, Adventure, Comedy",7.7,785.794
"Adventure, Family, Fantasy",5.5,173.961
"Crime, Drama",7.4,34.934
"Comedy, Drama, Mystery",7,15.636
"Comedy, Drama",7.4,9.303
"Comedy",5.6,65.860
"Adventure, Comedy, Family",5.6,93.320
"Action, Crime, Drama",6,9.516
"Comedy, Fantasy, Sci-Fi",6.9,18.171
"Horror, Mystery, Thriller",3.2,51.739
"Adventure, Comedy, Family",3.7,39.157
"Crime, Drama, Mystery",6.5,2.053
"Action, Adventure, Family",5.3,8.468
"Horror, Mystery, Thriller",5.7,167.886
"Horror, Mystery, Thriller",5.2,43.017
"Action, Adventure, Thriller",5.8,305.858
"Comedy, Drama, Romance",6.8,1.549
"Horror, Mystery, Thriller",5.3,365.552
"Action, Crime, Drama",6.1,13.314
"Animation, Adventure, Comedy",7.1,529.324
"Drama, Mystery",6.4,1.083
"Drama, Romance",6.8,7.998
"Action, Adventure, Crime",5.8,10.313
"Drama, Romance, Thriller",5.8,46.404
"Action, Horror, Sci-Fi",5.2,137.056
"Animation, Adventure, Comedy",6.6,214.040
"Action, Comedy, Crime",5.9,2.585
"Biography, Comedy, Drama",7.2,76.073
"Action, Adventure, Biography",6.6,59.945
"Drama, Sport",7.1,214.216
"Action, Crime, Drama",4.9,21.753
"Biography, Drama, Family",7.3,86.087
"Action, Adventure, Family",5.5,115.085
"Comedy",5.1,5.104
"Action, Sci-Fi, Thriller",7.5,16.643
"Drama, War",5.8,3.590
"Action, Drama, Thriller",6.2,13.837
"Comedy, Family, Romance",5.9,3.369
"Drama, History, Music",7.6,20.343
"Drama",6.3,3.563
"Crime, Drama, Mystery",7.1,31.883
"Drama, Horror, Sci-Fi",7.5,340.949
"Action, Adventure, Comedy",6,75.339
"Crime, Drama, Thriller",7.2,5.080
"Horror, Thriller",5.2,95.330
"Comedy",5.6,103.106
"Comedy, Romance",5.5,94.539
"Biography, Drama, Thriller",5.2,57.076
"Adventure, Drama",6.8,4.144
"Action, Drama, Thriller",6.5,53.919
"Comedy, Drama, Romance",6.1,104.438
"Action, Adventure, Drama",7,91.708
"Comedy, Musical, Romance",6.6,399.907
"Action, Adventure, Comedy",6.2,158.971
"Comedy, Romance",5.7,1.363
"Biography, Comedy, Drama",8.2,321.753
"Action, Fantasy, Horror",6.6,1.525
"Biography, Drama",6.9,11.853
"Comedy, Drama",7.4,14.347
"Drama, Fantasy, Romance",6.4,10.422
"Comedy, Crime, Drama",6.8,97.645
"Drama, Romance",7.1,20.597
"Action, Crime, Drama",6.2,5.581
"Action, Crime, Drama",5.4,51.412
"Drama, Horror, Mystery",6.4,14.294
"Comedy, Sport",5.7,46.664
"Biography, Drama, History",5.8,6.217
"Comedy, Drama",7.9,451.183
"Comedy, Drama, Romance",6.2,6.842
"Action, Crime, Drama",5.3,1.405
"Adventure, Biography, Drama",6.6,25.916
"Comedy, Drama",7.3,120.556
"Animation, Action, Adventure",6.8,52.090
"Drama",6.7,10.134
"Drama, Mystery, Thriller",7.6,75.462
"Action, Crime, Thriller",5.1,20.781
"Drama, Horror, Mystery",7.3,80.240
"Crime, Drama, Thriller",7,174.804
"Animation, Action, Adventure",7.9,115.561
"Comedy, Drama, Romance",4.8,33.705
"Drama, Mystery",7.2,42.141
"Drama",8.4,64.417
"Drama, Thriller",7.2,38.845
"Drama, Horror, Music",7.1,2.027
"Crime, Drama, Mystery",6.8,18.478
"Action, Adventure, Sci-Fi",7.3,404.853
"Action, Adventure, Comedy",7.1,365.972
"Drama, War",6.7,3.364
"Horror, Mystery, Thriller",5.7,113.118
"Horror, Thriller",5.4,48.022
"Action, Drama, Sci-Fi",5.7,173.470
"Horror, Mystery, Thriller",3.2,18.530
"Action, Thriller",6.1,91.490
"Comedy, Crime",5.4,95.055
"Comedy, Drama, Romance",7.6,33.767
"Comedy",7.2,24.863
"Action, Adventure, Comedy",6.7,122.810
"Animation, Comedy, Family",5.8,203.045
"Animation, Adventure, Comedy",5,32.450
"Action, Biography, Drama",8.1,225.508
"Animation, Adventure, Comedy",7.8,1073.395
"Biography, Drama, Music",7.3,195.179
"Action, Biography, Drama",7.1,176.346
"Comedy, Romance",6.8,53.874
"Action, Adventure, Fantasy",5.2,44.665
"Action, Adventure, Comedy",5.6,253.891
"Comedy, Drama",6.5,10.821
"Animation, Action, Adventure",7.5,521.800
"Comedy, Fantasy, Romance",5.9,48.791
"Action, Adventure, Fantasy",6.6,1074.144
"Comedy, Drama, War",7.9,90.335
"Adventure, Drama, Mystery",6.6,127.462
"Biography, Drama",7.3,67.761
"Drama, Romance",7.8,216.601
"Adventure, Drama, Family",6.9,4.324
"Biography, Drama, Romance",6.8,9.090
"Adventure, Horror, Mystery",6.2,104.546
"Animation, Action, Adventure",6.6,192.307
"Biography, Crime, Drama",7.5,43.746
"Action, Adventure, Fantasy",6,386.600
"Adventure, Family, Fantasy",6.3,353.285
"Drama",6.3,9.933
"Drama, Romance",5.4,69.733
"Action, Adventure, Sci-Fi",6.9,1128.276
"Action, Adventure, Drama",8.4,2797.801
"Animation, Adventure, Comedy",4.8,16.349
"Comedy, Drama",7.6,23.621
"Animation, Adventure, Comedy",4.6,9.874
"Action, Comedy, Crime",6.4,21.360
"Horror, Mystery, Thriller",5.8,21.150
"Animation, Adventure, Comedy",6.9,1450.027
"Action, Biography, Drama",6.5,43.347
"Adventure, Family, Fantasy",6.6,491.730
"Biography, Drama, History",7.1,10.210
"Horror, Mystery, Thriller",5.3,123.134
"Biography, Crime, Drama",7.6,50.402
"Biography, Drama, Western",5.9,1.553
"Action, Adventure, Comedy",4.7,73.280
"Horror, Mystery, Sci-Fi",6.2,1.024
"Animation, Adventure, Comedy",6.5,430.051
"Comedy, Drama, Sport",5.9,16.418
"Comedy, Crime, Drama",6.3,157.564
"Crime, Drama, Mystery",6.6,33.856
"Drama, Fantasy, Horror",7.4,72.382
"Comedy, Drama, Family",2.8,73.832
"Action, Crime, Drama",6.2,76.420
"Crime, Drama, Thriller",7.4,50.024
"Animation, Action, Adventure",6.8,171.617
"Action, Crime, Drama",5.5,15.980
"Action, Adventure, Comedy",6.6,433.005
"Action, Adventure, Horror",6.3,155.712
"Action, Crime, Drama",5.7,15.384
"Action, Adventure, Drama",6,8.809
"Animation, Adventure, Comedy",6.4,147.792
"Animation, Adventure, Drama",6.9,1656.964
"Comedy, Drama",6.5,22.387
"Adventure, Family, Fantasy",7,1050.694
"Action, Crime, Thriller",7.5,326.710
"Action, Thriller",6.4,146.662
"Action, Adventure, Sci-Fi",7.5,1131.928
"Animation, Adventure, Comedy",7,179.990
"Animation, Adventure, Comedy",6.7,26.249
"Biography, Drama",6.8,59.864
"Drama, Romance",7.4,194.294
"Drama, Music, Romance",5.8,6.750
"Animation, Adventure, Comedy",5.8,119.559
"Comedy, Drama",6.4,10.505
"Action, Adventure, Sci-Fi",6.2,261.119
"Drama, Romance",7.2,91.522
"Drama, Mystery, Thriller",5.4,14.455
"Comedy",5.5,4.554
"Biography, Comedy, Drama",7.1,40.812
"Comedy",5.7,4.691
"Action, Adventure, Sci-Fi",5.8,252.443
"Drama, Horror, Mystery",5.6,36.974
"Comedy, Drama, Thriller",8.6,257.605
"Drama, Horror, Mystery",6.2,5.288
"Action, Adventure, Thriller",6.4,759.057
"Action, Adventure, Family",6,32.141
"Drama, Sci-Fi, Thriller",6.7,246.999
"Horror, Mystery, Thriller",6.9,255.185
"Action, Adventure, Drama",6.7,125.620
"Comedy",4.4,74.748
"Biography, Drama",6.2,50.444
"Comedy, Drama",7.6,374.344
"Crime, Drama, Thriller",8.5,1074.251
"Adventure, Drama, Horror",5,46.783
"Adventure, Comedy",6.7,111.037
"Drama, Fantasy, Horror",6.5,473.093
"Action, Crime, Drama",6.3,22.741
"Action, Thriller",6.6,31.627
"Adventure, Comedy, Family",6.1,119.683
"Action, Sci-Fi",6,699.857
"Adventure, Drama, Family",6.7,80.708
"Comedy, Fantasy, Romance",5.2,72.216
"Action, Comedy, Crime",6.2,32.391
"Drama, Horror, Mystery",6.1,32.893
"Comedy, Horror, Mystery",6.8,57.616
"Horror, Mystery, Thriller",5.6,61.106
"Action, Adventure, Comedy",6.7,796.576
"Comedy, Fantasy, Music",6.8,153.009
"Comedy, Fantasy, Romance",5.4,48.987
"Horror",5.5,2.296
"Comedy, Horror, Mystery",6.2,64.600
"Drama, Family, Sport",6.6,38.026
"Comedy, Drama, Music",6.9,18.097
"Horror, Mystery, Thriller",5.9,231.253
"Action, Drama, Horror",6.2,91.542
"Action, Comedy, Crime",7.9,115.172
"Adventure, Comedy, Drama",7.5,75.790
"Drama, War",8.3,384.857
"Comedy, Drama, Romance",6.5,121.551
"Horror, Sci-Fi",5.8,44.902
"Action, Crime, Drama",6.6,49.940
"Crime, Drama, Romance",7.1,47.794
"Drama, Horror, Mystery",7.1,47.903
"Comedy, Crime, Drama",7.9,309.233
"Biography, Drama",5.8,21.171
"Action, Thriller",4.6,1.010
"Comedy, Family",5,68.632
"Comedy, Romance",6.1,9.342
