"genre","avg_vote","income"
"Action, Crime, Drama",6.8,102.812
"Comedy",6,105.011
"Biography, Crime, Drama",8.1,98.690
"Action, Adventure, Sci-Fi",6.5,658.344
"Action, Adventure, Family",6.4,209.036
"Drama, Horror, Sci-Fi",6,34.227
"Animation, Adventure, Comedy",6.7,332.208
"Biography, Drama, History",6.9,27.972
"Action, Drama, Thriller",7.3,35.260
"Action, Adventure, Crime",5.3,133.719
"Animation, Adventure, Comedy",8.1,858.071
"Biography, Drama, Sport",7.4,45.710
"Action, Comedy, Fantasy",5.5,244.875
"Action, Adventure, Drama",6.1,473.991
"Biography, Drama, Music",6.9,1.553
"Action, Drama, Western",5.9,3.068
"Action, Mystery, Sci-Fi",6.5,31.807
"Action, Crime, Drama",6.6,71.562
"Drama",6.6,1.161
"Animation, Adventure, Comedy",6.6,386.042
"Comedy, Drama, Music",5.6,117.813
"Comedy, Fantasy, Romance",5.8,42.427
"Animation, Action, Adventure",6,325.186
"Animation, Adventure, Comedy",6.4,1159.443
"Horror, Mystery, Sci-Fi",4.2,42.964
"Drama, Romance, Thriller",4.1,569.651
"Comedy, Drama",5.4,14.431
"Comedy, Drama",7.1,194.565
"Action, Adventure, Thriller",6.8,880.675
"Drama, Romance",7.5,62.076
"Action, Adventure, Thriller",7.4,682.717
"Comedy, Crime, Drama",6.6,158.763
"Action, Adventure, Sci-Fi",7.3,1402.809
"Animation, Comedy, Drama",7.3,5.659
"Crime, Drama, Mystery",6.2,5.091
"Drama, Romance",7.2,40.272
"Biography, Drama, History",7.3,61.620
"Drama, Mystery, Sci-Fi",6.4,33.213
"Biography, Drama",6.6,101.134
"Animation, Comedy, Family",7.1,246.233
"Horror, Mystery, Thriller",4.6,78.903
"Action, Adventure, Sci-Fi",7.9,2068.224
"Comedy, Drama",6.6,36.607
"Animation, Comedy, Family",6.7,474.800
"Action, Crime, Drama",5.8,24.177
"Biography, Drama, History",7.1,1.289
"Drama, Fantasy, Horror",6.5,74.680
"Comedy, Drama",6.6,85.978
"Comedy, Crime",6,111.711
"Comedy, Drama",7.7,9.075
"Drama",6.8,1.369
"Comedy",6.3,215.864
"Comedy, Mystery, Sci-Fi",5.1,13.082
"Action, Crime, Thriller",5.7,82.348
"Drama",5.5,1.972
"Action, Crime, Thriller",5.4,19.652
"Action, Adventure, Biography",7.1,203.428
"Drama, Romance",7.1,62.945
"Horror, Mystery, Thriller",5.3,53.329
"Action, Adventure, Thriller",7.1,1515.048
"Comedy, Music",6.4,287.144
"Animation, Adventure, Comedy",7.3,106.209
"Drama, History, War",6.6,16.322
"Action, Biography, Drama",7.1,157.030
"Action, Adventure, Sci-Fi",6.2,297.003
"Adventure, Drama",6.7,125.837
"Comedy, Drama",7.1,23.762
"Horror, Mystery, Sci-Fi",5.2,38.357
"Drama, Romance",7.1,30.230
"Action, Adventure, Thriller",5.2,72.630
"Action, Comedy, Crime",5.1,51.380
"Animation, Adventure, Comedy",5,234.799
"Drama",6.8,7.724
"Action, Adventure, Comedy",5.5,47.276
"Action, Adventure, Sci-Fi",6.7,16.811
"Drama, Sport",7.6,173.568
"Drama, History",6.9,31.972
"Action, Comedy, Crime",7,235.666
"Action, Adventure, Drama",6,4.925
"Comedy, Drama, Romance",6.2,140.796
"Comedy, Music, War",5.5,3.394
"Drama, Mystery",6.9,29.355
"Drama, Thriller",8.1,35.402
"Comedy, Drama, Romance",6.9,1.775
"Horror, Thriller",4.7,52.426
"Horror, Mystery, Thriller",6.1,112.984
"Biography, Drama",7.5,11.430
"Action, Adventure, Drama",6.9,1.296
"Action, Crime, Drama",5.4,2.802
"Action, Crime, Drama",6.1,3.777
"Drama, Fantasy, Horror",6.4,5.497
"Drama, Romance, Sci-Fi",6.1,2.085
"Comedy, Drama, Music",7.3,23.459
"Action, Comedy",6.1,27.262
