imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0086143,American College,Private School,1983,7/29/1983,"Comedy, Romance",89,USA,English,Noel Black,"Dan Greenburg, Suzanne O'Malley",Unity Productions,"Phoebe Cates, Betsy Russell, Matthew Modine, Michael Zorek, Fran Ryan, Kathleen Wilhoite, Ray Walston, Sylvia Kristel, Jonathan Prince, Kari Lizer, Richard Stahl, Julie Payne, Frank Aletter, Frances Bay, Bill Wray",Chris from a girls' boarding school loves Jim from a nearby boys' boarding school. Jordan also wants Jim and plays dirty. Jim and 2 friends visit the girls' school posing as girls.,5.3,5726,"$3,500,000 ","$14,049,540 ",14049540.00,25,65,23
tt0083630,Kaan principe guerriero,The Beastmaster,1982,8/20/1982,"Action, Adventure, Fantasy",118,"USA, West Germany",English,Don Coscarelli,"Don Coscarelli, Paul Pepperman",Leisure Investment Company,"Marc Singer, Tanya Roberts, Rip Torn, John Amos, Joshua Milrad, Rod Loomis, Ben Hammer, Ralph Strait, Billy Jayne, Janet DeMay, Christine Kellogg, Janet Jones, Tony Epper, Vanna Bonta, Kim Tabet","A sword-and-sorcery fantasy about a young man's search for revenge. Armed with supernatural powers, the handsome hero and his animal allies wage war against marauding forces.",6.2,20053,"$8,000,000 ","$14,056,528 ",14056528.00,18,115,57
tt0115571,The Arrival,The Arrival,1996,5/31/1996,"Sci-Fi, Thriller",115,"USA, Mexico",English,David Twohy,David Twohy,Live Entertainment,"Charlie Sheen, Lindsay Crouse, Richard Schiff, Shane, Ron Silver, Teri Polo, Phyllis Applegate, Alan Coates, Leon Rippy, Buddy Joe Hooker, Javier Morga, Tony T. Johnson, Catalina Botello, Georg Lillitsch, David Villalpando","Zane, an astronomer, discovers intelligent alien life. But the aliens are keeping a deadly secret, and will do anything to stop Zane from learning it.",6.3,31449,"$25,000,000 ","$14,063,331 ",14063331.00,56,135,64
tt1214962,Solo per vendetta,Seeking Justice,2011,9/2/2011,"Action, Crime, Drama",105,USA,English,Roger Donaldson,"Todd Hickey, Robert Tannen",Endgame Entertainment,"Nicolas Cage, January Jones, Guy Pearce, Harold Perrineau, Jennifer Carpenter, Irone Singleton, Wayne Pรฉre, Xander Berkeley, Marcus Lyle Brown, Dikran Tulaine, Joe Chrest, Demetrius Bridges, Jason Davis, Brett Gentile, Renwick D. Scott II","After his wife is assaulted, a husband enlists the services of a vigilante group to help him settle the score. Then he discovers they want a 'favor' from him in return.",6.2,44195,"$17,000,000 ","$411,746 ",14089528.00,38,118,128
tt0083833,A cena con gli amici,Diner,1982,3/7/1986,"Comedy, Drama",110,USA,English,Barry Levinson,Barry Levinson,Metro-Goldwyn-Mayer (MGM),"Steve Guttenberg, Daniel Stern, Mickey Rourke, Kevin Bacon, Tim Daly, Ellen Barkin, Paul Reiser, Kathryn Dowling, Michael Tucker, Jessica James, Colette Blonigan, Kelle Kipp, John Aquino, Richard Pierson, Claudia Cron",A group of college-age buddies struggle with their imminent passage into adulthood in 1959 Baltimore.,7.1,18232,"$5,000,000 ","$14,099,953 ",14099953.00,82,94,50
tt1247640,Banlieue 13: Ultimatum,Banlieue 13: Ultimatum,2009,2/18/2009,"Action, Crime, Thriller",101,France,"French, English",Patrick Alessandrin,Luc Besson,EuropaCorp,"Cyril Raffaelli, David Belle, Philippe Torreton, Daniel Duval, Elodie Yung, MC Jean Gab'1, James Deano, Laouni Mouhid, Fabrice Feltzinger, Pierre-Marie Mosconi, Johnny Amaro, Pascal D'Amato, Guy Amram, Pascal Aubert, Jean-Gilles Barbier","Damien and Leito return to District 13 on a mission to bring peace to the troubled sector that is controlled by five different gang bosses, before the city's secret services take drastic measures to solve the problem.",6.5,42535,EUR 12000000,"$36,136 ",14103752.00,64,47,119
tt1748179,Red Lights,Red Lights,2012,11/8/2012,"Drama, Fantasy, Horror",114,"Spain, Canada",English,Rodrigo Cortรฉs,Rodrigo Cortรฉs,Millennium Films,"Cillian Murphy, Sigourney Weaver, Robert De Niro, Toby Jones, Joely Richardson, Elizabeth Olsen, Craig Roberts, Leonardo Sbaraglia, Adriane Lenox, Garrick Hagon, Burn Gorman, Mitchell Mullen, Nathan Osgood, Madeleine Potter, Eloise Webb","Psychologist Margaret Matheson and her assistant study paranormal activity, which leads them to investigate a world-renowned psychic who has resurfaced years after his toughest critic mysteriously passed away.",6.2,57838,EUR 14000000,"$52,624 ",14107313.00,36,172,199
tt0082288,Il drago del lago di fuoco,Dragonslayer,1981,6/26/1981,"Action, Adventure, Fantasy",108,"USA, UK",English,Matthew Robbins,"Hal Barwood, Matthew Robbins",Paramount Pictures,"Peter MacNicol, Caitlin Clarke, Ralph Richardson, John Hallam, Peter Eyre, Albert Salmi, Sydney Bromley, Chloe Salaman, Emrys James, Roger Kemp, Ian McDiarmid, Ken Shorter, Jason White, Yolande Palfrey, Douglas Cooper",A young wizarding apprentice is sent to kill a dragon which has been devouring girls from a nearby kingdom.,6.7,14686,"$18,000,000 ","$14,110,013 ",14110013.00,68,126,75
tt0104009,Fuga dal mondo dei sogni,Cool World,1992,4/15/1993,"Animation, Comedy, Fantasy",102,USA,English,Ralph Bakshi,"Michael Grais, Mark Victor",Bakshi Animation,"Janni Brenn, Brad Pitt, William Frankfather, Greg Collins, Maurice LaMarche, Gabriel Byrne, Joey Camen, Kim Basinger, Michael David Lally, Michele Abrams, Carrie Hamilton, Stephen Worth, Murray Podwal, Jenine Jennings, Gregory Snegoff",A comic strip femme fatale seeks to seduce her cartoonist creator in order to cross over into the real world.,4.9,20371,"$30,000,000 ","$14,110,589 ",14110589.00,28,102,50
tt0095889,Poltergeist III,Poltergeist III,1988,8/26/1988,"Horror, Thriller",98,USA,English,Gary Sherman,"Gary Sherman, Brian Taggert",Metro-Goldwyn-Mayer (MGM),"Tom Skerritt, Nancy Allen, Heather O'Rourke, Zelda Rubinstein, Lara Flynn Boyle, Kipley Wentz, Richard Fire, Nathan Davis, Roger May, Paul Graham, Meg Weldon, Stacy Gilchrist, Joey Garfield, Christian Murphy, Roy Hytower","Carol Anne is staying with her aunt in a high-rise building, where the supernatural forces haunting her make their return.",4.7,16524,"$10,500,000 ","$14,114,488 ",14114488.00,40,127,79
