"genre","avgVote","income"
"Action, Crime, Drama",6.8,102811889
"Comedy",6,105011053
"Biography, Crime, Drama",8.1,98690254
"Action, Adventure, Sci-Fi",6.5,658344137
"Action, Adventure, Family",6.4,209035668
"Drama, Horror, Sci-Fi",6,34227298
"Animation, Adventure, Comedy",6.7,332207671
"Biography, Drama, History",6.9,27972023
"Action, Drama, Thriller",7.3,35259653
"Action, Adventure, Crime",5.3,133718711
"Animation, Adventure, Comedy",8.1,858071350
"Biography, Drama, Sport",7.4,45710059
"Action, Comedy, Fantasy",5.5,244874809
"Action, Adventure, Drama",6.1,473990832
"Biography, Drama, Music",6.9,1553337
"Action, Drama, Western",5.9,3067531
"Action, Mystery, Sci-Fi",6.5,31807156
"Action, Crime, Drama",6.6,71561644
"Drama",6.6,1160724
"Animation, Adventure, Comedy",6.6,386041607
"Comedy, Drama, Music",5.6,117813057
"Comedy, Fantasy, Romance",5.8,42426912
"Animation, Action, Adventure",6,325186032
"Animation, Adventure, Comedy",6.4,1159443129
"Horror, Mystery, Sci-Fi",4.2,42964410
"Drama, Romance, Thriller",4.1,569651467
"Comedy, Drama",5.4,14431253
"Comedy, Drama",7.1,194564672
"Action, Adventure, Thriller",6.8,880674609
"Drama, Romance",7.5,62076141
"Action, Adventure, Thriller",7.4,682716636
"Comedy, Crime, Drama",6.6,158762963
"Action, Adventure, Sci-Fi",7.3,1402808753
"Animation, Comedy, Drama",7.3,5659286
"Crime, Drama, Mystery",6.2,5090852
"Drama, Romance",7.2,40272135
"Biography, Drama, History",7.3,61619773
"Drama, Mystery, Sci-Fi",6.4,33213241
"Biography, Drama",6.6,101134059
"Animation, Comedy, Family",7.1,246233113
"Horror, Mystery, Thriller",4.6,78903124
"Action, Adventure, Sci-Fi",7.9,2068224036
"Comedy, Drama",6.6,36606743
"Animation, Comedy, Family",6.7,474800000
"Action, Crime, Drama",5.8,24177137
"Biography, Drama, History",7.1,1289014
"Drama, Fantasy, Horror",6.5,74679822
"Comedy, Drama",6.6,85978266
"Comedy, Crime",6,111711453
"Comedy, Drama",7.7,9074749
"Drama",6.8,1369037
"Comedy",6.3,215863606
"Comedy, Mystery, Sci-Fi",5.1,13081651
"Action, Crime, Thriller",5.7,82347656
"Drama",5.5,1972062
"Action, Crime, Thriller",5.4,19652057
"Action, Adventure, Biography",7.1,203427584
"Drama, Romance",7.1,62944815
"Horror, Mystery, Thriller",5.3,53329150
"Action, Adventure, Thriller",7.1,1515048151
"Comedy, Music",6.4,287144079
"Animation, Adventure, Comedy",7.3,106209378
"Drama, History, War",6.6,16322067
"Action, Biography, Drama",7.1,157029618
"Action, Adventure, Sci-Fi",6.2,297002527
"Adventure, Drama",6.7,125837070
"Comedy, Drama",7.1,23762417
"Horror, Mystery, Sci-Fi",5.2,38356892
"Drama, Romance",7.1,30229977
"Action, Adventure, Thriller",5.2,72629670
"Action, Comedy, Crime",5.1,51380201
"Animation, Adventure, Comedy",5,234798636
"Drama",6.8,7723656
"Action, Adventure, Comedy",5.5,47275695
"Action, Adventure, Sci-Fi",6.7,16810562
"Drama, Sport",7.6,173567581
"Drama, History",6.9,31972096
"Action, Comedy, Crime",7,235666219
"Action, Adventure, Drama",6,4924990
"Comedy, Drama, Romance",6.2,140795793
"Comedy, Music, War",5.5,3394174
"Drama, Mystery",6.9,29355203
"Drama, Thriller",8.1,35401758
"Comedy, Drama, Romance",6.9,1775133
"Horror, Thriller",4.7,52425855
"Horror, Mystery, Thriller",6.1,112983889
"Biography, Drama",7.5,11430025
"Action, Adventure, Drama",6.9,1295574
"Action, Crime, Drama",5.4,2801508
"Action, Crime, Drama",6.1,3777046
"Drama, Fantasy, Horror",6.4,5497104
"Drama, Romance, Sci-Fi",6.1,2084628
"Comedy, Drama, Music",7.3,23459358
"Action, Comedy",6.1,27262374
